Services,Department,service_url,Sector,nesda_parameter,X1..Existence.of.the.service.link.in.state.portal.or.national.services.portal,X2..Is.service.available.both.in.English.and.local.language,X3..Information.about.the.eGovernment.IT.department..respective.department,X4..Contact.Information.of.government.officials..agency.responsible.for.the.provision.of.specific.online.services.queries,X5...Existence.of.a.separate..Contact.Us..section,X6...Availability.of.downloadable.forms.for.provisioning.of.services.which.cannot.be.submitted.online,X7...Availability.of.multiple.navigation.routes.for.services.and.information..like.A.to.Z.services.Index..Category.wise.service.groups..etc...,X8...Does.the.web.page.provide.any.service.delivery.charters.which.are.published,X9...Availability.of.feature.for.users.to.create.personal.login.profiles.OR.sign.in.through.an.integrated.authentication.initiative.such.as.Aadhaar,X10...Availability.of.promotional.campaigns.to.avail.eServices,X11...Are.details.to.avail.the.service.across.channels..portal..mobile..Kiosk..others...available.online.,X12...Availability.of.facility.for.users.to.register..log.in.online,X13...For.registered.users..is.there.provision.for.the.user.to.check.details.of.previously.availed.services..transaction.history.etc..,X14...Has.the.website.been.designed.using.auto.format.to.adjust.to.various.mobile.devices.like.tab..iPad..mobile.phones.etc..,X15...Availability.of.information.about.compatible.browsers.and.best.screen.resolutions,X16...Availability.of.features.to.enable.access.to.portal.for.people.with.visual.audio.motor.disabilities,X17...Does.the.portal.support.audio.and.video.playing.,X18...GIGW.compliant,X19..Availability.of.facility.for.user.to.provide.feedback...comments.regarding.eServices,X20...Information.about.results.of.user.feedback.about.online.services,X21...Existence.of.a.separate.section.for.Help,X22...Existence.of.a.separate.section.on.Frequently.Asked.Questions..FAQ.,X23...Availability.of.sitemap,X24...Availability.of.information.of.the.last.updated.timestamp.on.each.page.of.the.website,X25...Is.last.updated.timestamp.as.of.current.year,X26...Does.the.website.have.relevant.and.updated.contents,X27...Availability.of.Statistics.about.website.usage.by.users..no..of.visitors..average.time.spent.per.visitor.etc.,X28...Availability.of.Statistics.about.transaction.count.of.services.availed.by.users,X29...Information.about.how.to.avail.electronic..digital.signature.facility.for.availing.the.services.,X30...Can.service.application.forms.be.downloaded.online,X31...Are.eServices.available.within.2.clicks.from.home.page,X32...Presence.of.a.What.s.new.section.which.details.the.changes.in.the.website,X33...Is.website.easy.to.find.in.top.search.engines...use.of.search.engine.optimization.technique.,X34...Availability.of.procedures.describing.how.to.fill.and.submit.downloadable.forms.for.provisioning.of.services..How.to.Guides..Audio..Video.Presentations.etc...,X35...Availability.of.search.feature,X36...Is.the.website.available.on.different.front.end.tools...IE..Chrome..Firefox..Mozilla..etc..,X37...Does.the.website.have.built.in.facility.to.populate.content.relevant.to.user.s.recent.activity...interest,X38...Does.the.department.service.portal.have.a.defined.internal.workflow.to.process.a.service.request,X39...Is.the.user.manual.available.to.guide.the.users.,X40...Are.mobile.alerts.available.for.unauthorized.access.to.user.profile..password.changes.etc..,X41...Clear.indication.of.online.security.measures.implemented.on.the.web.page.through.HTTPS..Lock.Symbol.on.the.browser..symbols.for.third.party.security.alliances.etc..,X42...Clear.Indication.of.W3C.Compliance.of.the.web.page.on.the.Home.page,X43...Is.the.web.page.hosted.on.HTTPS.protocol,X44...Is.the.personal.data.of.the.citizens.been.safeguarded.through.the.security.policy.of.the.government,X45...Is.the.web.page.been.assessed.by.TPA.for.the.online.security,X46...Has.the.web.page.mandated.3.factor.authentication.for.username...password,X47...Is.the.user.intimated.by.email.on.password.expiry..reset..change.in.password..change.in.user.profile.etc..,X48...Is.end.service.available.through.email..online..downloadable..,X49...Is.end.service.available.upon.visit.to.respective.centre.department.etc,X50...Is.OTP.facility.available.for.user.authentication.during.final.service.delivery,X51...Are.service.delivery.timelines.published.on.the.website,X52...Whether.the.manual.provision.of.services.been.completely.done.away.by.the.State,X53..Availability.of.feature.to.submit.service.forms.online..PDF.or.web.based.,X54...Availability.of.facility.to.make.Online.payments,X55...Is.digital.signature.facility.available,X56...Does.the.website.allow.multiple.channel.access.for.services.at.different.levels..registration.and.application.on.website..payments.on.mobile.etc...,X57...Single.payment.gateway.for.all.channels,X58...Can.the.service.be.availed.without.the.need.for.a.physical.touch.point.for.document.submission.and.verification.and.mandate.that.all.applications.are.submitted.online,X59...Single.Sign.on..Unique.ID..Aadhaar..sign.in,X60...Are.the.available.citizen.services.linked.to.Digital.Locker,X61...Availability.of.facility.to.make.online.payment.towards.services.availed.on.web.page.using.mobile.device,X62...Does.the.web.page.provide.for.various.payment.options.like.credit..debit..cash.card..internet.banking..mobile.wallet..specific.payment.methods.such.as.Rupay..BHIM.etc..for.availing.a.service.,X63...Is.service.specific.content.integrated.with.data.from.dependent.departments.data.sources.and.auto.populated.while.submitting.service.application.details.online,X64...Is.service.specific.content.integrated.with.data.from.dependent.departments.data.sources.and.relevant.auto.calculations.are.done.while.submitting.details.online.,X65...Are.apps.available.for.each.of.the.services...Availability.of.installable.mobile.applications.for.providing.information.and.availing.the.service,X66...Has.the.webpage.been.integrated.with.Social.Media.Apps.like.Twitter..Facebook.etc..,X67..Availability.of.feature.to.track.Service.Applications..Requests.online,X68...Availability.of.facility.to.log.Grievances...Complaints,X69...Availability.of.Ticket...Complaint.No..for.status.tracking.and.future.follow.ups,X70...Are.service.update.alerts.sent.through.SMS,X71...Information.on.availability.of.features.to.alert.the.citizen.on.each.stage.of.Service.Lifecycle.and.Grievance...Complaints..Service.Request.Receipt..Status.Update..Service.fulfilment.etc...through.SMS.or.Calls.,X72...Does.the.user.get.feedback.on.their.complaints.like.email..call.back.etc.,X73...Availability.of.Information.about.helpline.for.issues.regarding.online.payments.through.web.page,X74...Does.the.web.page.provide.help.desk..online.support..and.call.centre.for.users..
Application for Registration of Shops and Establishment (G2B),Commissionerate of Labour,https://labour.hp.gov.in/,Labour and Employment,Integrated Service Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Verify,Verify,No,No,,,,,,,,
Application for Registration of Shops and Establishment (G2B),Commissionerate of Labour,https://labour.hp.gov.in/,Labour and Employment,Status and Request Tracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Verify,Verify,Yes,Verify,Yes,No
Application for Registration of Shops and Establishment (G2B),Commissionerate of Labour,https://labour.hp.gov.in/,Labour and Employment,End Service Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Verify,No,Verify,,,,,,,,,,,,,,,,,,,,,,
Application for Water Connection (business) (G2B),Department of Water Resources / Relevant Depts.,https://edistrict.hp.gov.in/pages/staticSite/serviceList.xhtml,Local governance and utilities,Ease of Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application for Water Connection (business) (G2B),Department of Water Resources / Relevant Depts.,https://edistrict.hp.gov.in/pages/staticSite/serviceList.xhtml,Local governance and utilities,Accessibility,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application for Water Connection (business) (G2B),Department of Water Resources / Relevant Depts.,https://edistrict.hp.gov.in/pages/staticSite/serviceList.xhtml,Local governance and utilities,Content Availability,,,,,,,,,,,,,,,,,,,Yes,Verify,Yes,Yes,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application for Water Connection (business) (G2B),Department of Water Resources / Relevant Depts.,https://edistrict.hp.gov.in/pages/staticSite/serviceList.xhtml,Local governance and utilities,Information Security and Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application for Water Connection (business) (G2B),Department of Water Resources / Relevant Depts.,https://edistrict.hp.gov.in/pages/staticSite/serviceList.xhtml,Local governance and utilities,Status and Request Tracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Verify,Verify,Verify,Verify,Yes,Yes
Application for Water Connection (business) (G2B),Department of Water Resources / Relevant Depts.,https://edistrict.hp.gov.in/pages/staticSite/serviceList.xhtml,Local governance and utilities,End Service Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verify,Verify,Verify,No,Verify,Yes,Yes,No,Verify,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,,,,,,,,
Apply for Government Jobs vacancies online,Commissionerate of Labour,http://www.hppsc.hp.gov.in/hppsc/,Labour and Employment,Accessibility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply for Government Jobs vacancies online,Commissionerate of Labour,http://www.hppsc.hp.gov.in/hppsc/,Labour and Employment,Status and Request Tracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Verify,No,No,Yes
Apply for Government Jobs vacancies online,Commissionerate of Labour,http://www.hppsc.hp.gov.in/hppsc/,Labour and Employment,Content Availability,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply for Government Jobs vacancies online,Commissionerate of Labour,http://www.hppsc.hp.gov.in/hppsc/,Labour and Employment,Ease of Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply for Government Jobs vacancies online,Commissionerate of Labour,http://www.hppsc.hp.gov.in/hppsc/,Labour and Employment,Information Security and Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,Verify,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply for Government Jobs vacancies online,Commissionerate of Labour,http://www.hppsc.hp.gov.in/hppsc/,Labour and Employment,End Service Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Verify,Yes,Verify,Yes,Yes,No,Yes,Yes,Yes,Yes,Verify,Yes,Yes,Verify,Verify,Yes,Yes,,,,,,,,
Appointment for Registrations under Indian Registration Act (G2C),Finance Department- State Public Procurement,https://ehimbhoomi.nic.in/Demarcation/frmOnlineDemReq.aspx,Finance,Status and Request Tracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verify,No,No,Verify,No,No,No,No
Appointment for Registrations under Indian Registration Act (G2C),Finance Department- State Public Procurement,https://ehimbhoomi.nic.in/Demarcation/frmOnlineDemReq.aspx,Finance,Information Security and Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verify,Yes,No,Yes,No,Verify,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appointment for Registrations under Indian Registration Act (G2C),Finance Department- State Public Procurement,https://ehimbhoomi.nic.in/Demarcation/frmOnlineDemReq.aspx,Finance,Content Availability,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appointment for Registrations under Indian Registration Act (G2C),Finance Department- State Public Procurement,https://ehimbhoomi.nic.in/Demarcation/frmOnlineDemReq.aspx,Finance,End Service Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verify,Verify,No,No,Verify,No,No,No,No,No,Yes,No,Verify,No,No,Verify,Verify,Yes,No,,,,,,,,
Appointment for Registrations under Indian Registration Act (G2C),Finance Department- State Public Procurement,https://ehimbhoomi.nic.in/Demarcation/frmOnlineDemReq.aspx,Finance,Ease of Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,No,Verify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appointment for Registrations under Indian Registration Act (G2C),Finance Department- State Public Procurement,https://ehimbhoomi.nic.in/Demarcation/frmOnlineDemReq.aspx,Finance,Accessibility,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth Certificate (G2C),Panchayati Raj/ Rural Development Department,https://crsorgi.gov.in,Local governance and utilities,Information Security and Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,No,Verify,Verify,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth Certificate (G2C),Panchayati Raj/ Rural Development Department,https://crsorgi.gov.in,Local governance and utilities,Status and Request Tracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,No,No,Yes
Birth Certificate (G2C),Panchayati Raj/ Rural Development Department,https://crsorgi.gov.in,Local governance and utilities,Content Availability,,,,,,,,,,,,,,,,,,,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Verify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth Certificate (G2C),Panchayati Raj/ Rural Development Department,https://crsorgi.gov.in,Local governance and utilities,Ease of Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Verify,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth Certificate (G2C),Panchayati Raj/ Rural Development Department,https://crsorgi.gov.in,Local governance and utilities,Accessibility,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Verify,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth Certificate (G2C),Panchayati Raj/ Rural Development Department,https://crsorgi.gov.in,Local governance and utilities,End Service Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Verify,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Verify,Verify,No,No,,,,,,,,
Building or development permit (G2B),Department of Urban Development / Local Self Government,https://obpsud.hp.gov.in/home,Local governance and utilities,Accessibility,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building or development permit (G2B),Department of Urban Development / Local Self Government,https://obpsud.hp.gov.in/home,Local governance and utilities,Ease of Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,Verify,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building or development permit (G2B),Department of Urban Development / Local Self Government,https://obpsud.hp.gov.in/home,Local governance and utilities,End Service Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verify,Yes,Verify,Yes,Verify,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Verify,Verify,No,No,,,,,,,,
Building or development permit (G2B),Department of Urban Development / Local Self Government,https://obpsud.hp.gov.in/home,Local governance and utilities,Information Security and Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verify,Yes,No,Yes,No,Verify,Yes,Verify,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building or development permit (G2B),Department of Urban Development / Local Self Government,https://obpsud.hp.gov.in/home,Local governance and utilities,Status and Request Tracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Verify,Verify,Verify,Verify,Yes,No
Building or development permit (G2B),Department of Urban Development / Local Self Government,https://obpsud.hp.gov.in/home,Local governance and utilities,Content Availability,,,,,,,,,,,,,,,,,,,Yes,Verify,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
